constituency
Changamwe
Jomvu
Kisauni
Likoni
Mvita
Nyali
Kinango
Lungalunga
Matuga
Msambweni
Samburu Kwale
Chonyi
Ganze
Kaloleni
Kauma
Kilifi North
Kilifi South
Magarini
Malindi
Rabai
Tana North
Tana Delta
Tana River
Lamu East
Lamu West
Mwatate
Taita
Taveta
Voi
Balambala
Dadaab
Fafi
Garissa
Hulugho
Ijara
Lagdera
Buna
Eldas
Habaswein.
Tarbaj
Wajir East.
Wajir North
Wajir South
Wajir West
Mandera West.
Banisa
Kutulo
Lafey
Mandera Central
Mandera East
Mandera North
Loiyangalani
Marsabit Central.
Marsabit North.
Marsabit South.
Moyale
North Horr
Sololo
Garbatulla.
Isiolo
Merti
Buuri East
Buuri West.
Igembe Central
Igembe North
Igembe South
Imenti North.
Imenti South.
Meru Central
Tigania Central
Tigania East.
Tigania West
Meru National Park.
Mt Kenya Forest
Igambang'ombe
Maara
Meru South
Tharaka North
Tharaka South
Mt Kenya Forest
Embu East
Embu North
Embu West
Mbeere South
Mbeere North
Mt Kenya Forest
Ikutha
Katulani
Kisasi
Kitui Central
Kitui West
Kyuso
Lower Yatta
Matinyani
Migwani
Mumoni
Mutitu
Mutitu North
Mutomo
Mwingi Central
Mwingi East
Nzambani
Thagicu
Tseikuru
Athi River
Kalama
Kangundo
Kathiani
Machakos
Masinga
Matungulu
Mwala
Yatta
Kathonzweni
Kibwezi
Kilungu
Makindu
Makueni
Mbooni East
Mbooni West
Mukaa
Nzaui
Kinangop
Nyandarua South
Mirangine
Kipipiri
Nyandarua Central
Nyandarua West
Nyandarua North
Aberdare National Park
Tetu
Kieni East
Kieni West
Mathira East
Mathira West
Nyeri South
Mukurwe ini
Nyeri Central
Mt Kenya Forest
Aberdare Forest
Kirinyaga Central
Kirinyaga East
Kirinyaga West
Mwea East
Mwea West
Mt Kenya Forest
Murang'a East
Kangema
Mathioya
Kahuro
Murang'a South
Gatanga
Kigumo
Kandara
Aberdare Forest
Gatundu North
Gatundu South
Githunguri
Juja
Kabete
Kiambaa
Kiambu
Kikuyu
Lari
Limuru
Ruiru
Thika East
Thika West
Kibish
Loima
Turkana Central
Turkana East
Turkana North
Turkana South
Turkana West
Kipkomo
Pokot Central
Pokot North
Pokot South
West Pokot
Samburu Central
Samburu East
Samburu North
Trans Nzoia West
Trans Nzoia East
Kwanza
Endebess
Kiminini
Ainabkoi
Kapseret
Kesses
Moiben
Soy
Turbo
Keiyo North
Keiyo South
Marakwet East
Marakwet West
Chesumei
Nandi Central
Nandi East
Nandi North
Nandi South
Tinderet
Baringo Central
Baringo North
East Pokot
Koibatek
Marigat
Mogotio
Tiaty East
Laikipia Central
Laikipia East
Laikipia North
Laikipia West
Nyahururu
Gilgil
Kuresoi North
Kuresoi South
Molo
Naivasha
Nakuru East
Nakuru North
Nakuru West
Njoro
Rongai
Subukia
Narok East
Narok North
Narok South
Narok West
Trans Mara East
Trans Mara West
Mau Forest
Isinya
Kajiado Central
Kajiado North
Kajiado West
Loitokitok
Mashuuru
Belgut
Bureti
Kericho East
Kipkelion
Londiani
Soin Sigowet
Bomet East
Chepalungu
Konoin
Sotik
Bomet Central
Butere
Kakamega Central
Kakamega East
Kakamega North
Kakamega South
Khwisero
Likuyani
Lugari
Matete
Matungu
Mumias East
Mumias West
Navakholo
Emuhaya
Vihiga
Sabatia
Luanda
Hamisi
Kakamega Forest
Bumula
Bungoma Central
Bungoma East
Bungoma North
Bungoma South
Cheptais
Kimilili Bungoma
Mt Elgon
Bungoma West
Tongaren
Webuye West
Mt Elgon Forest
Bunyala
Busia
Butula
Nambale
Samia
Teso North
Teso South
Siaya
Gem
Ugenya
Ugunja
Bondo
Rarieda
Kisumu East
Kisumu Central
Kisumu West
Seme
Muhoroni
Nyando
Nyakach
Homa Bay
Ndhiwa
Rachuonyo North
Rachuonyo East
Rachuonyo South
Rangwe
Suba North
Suba South
Awendo
Kuria East
Kuria West
Nyatike
Rongo
Suna East
Suna West
Uriri
Etago
Gucha
Gucha South
Kenyenya
Kisii Central
Kisii South
Kitutu Central
Marani
Masaba South
Nyamache
Sameta
Borabu
Manga
Masaba North
Nyamira North
Nyamira South
Dagoretti
Embakasi
Kamukunji
Kasarani
Kibra
Lang'ata
Makadara
Mathare
Njiru
Starehe
Westlands
